timestamp,ZC,ZW
1149480000,253.0,398.5
1149566400,247.75,385.0
1149652800,251.0,387.75
1149739200,245.5,383.5
1149825600,242.0,372.5
1150084800,247.5,373.75
1150171200,243.25,369.75
1150257600,237.0,361.25
1150344000,233.0,361.5
1150430400,235.5,359.0
1150689600,229.75,358.5
1150776000,229.75,367.0
1150862400,232.75,372.0
1150948800,230.5,365.5
1151035200,228.25,363.25
1151294400,223.0,368.5
1151380800,225.25,378.25
1151467200,226.0,372.0
1151553600,228.5,374.0
1151640000,235.5,371.5
1151899200,243.25,384.25
1152072000,239.5,386.5
1152158400,245.25,390.0
1152244800,241.0,381.5
1152504000,247.75,382.5
1152590400,253.75,398.0
1152676800,259.25,390.0
1152763200,252.5,376.0
1152849600,253.5,366.0
1153108800,251.75,393.0
1153195200,246.5,398.0
1153281600,244.75,393.0
1153368000,242.5,406.5
1153454400,237.25,407.25
1153713600,239.0,400.5
1153800000,239.5,393.25
1153886400,236.0,382.0
1153972800,237.75,387.75
1154059200,237.25,388.5
1154318400,239.0,397.5
1154404800,240.5,392.5
1154491200,247.25,401.5
1154577600,245.0,395.25
1154664000,245.0,396.0
1154923200,239.75,393.0
1155009600,235.75,384.0
1155096000,239.75,388.0
1155182400,238.75,386.5
1155268800,224.75,373.75
1155528000,222.0,374.0
1155614400,222.0,376.75
1155700800,221.5,371.5
1155787200,219.0,363.5
1155873600,219.75,364.5
1156132800,221.0,365.75
1156219200,219.5,359.75
1156305600,223.5,366.0
1156392000,227.5,375.5
1156478400,225.0,378.5
1156737600,224.5,384.75
1156824000,222.75,380.5
1156910400,228.5,397.5
1156996800,232.0,404.0
1157083200,230.0,401.25
1157428800,228.75,404.0
1157515200,226.25,399.0
1157601600,230.75,403.5
1157688000,231.75,400.0
1157947200,228.75,398.0
1158033600,223.5,388.75
1158120000,224.0,381.5
1158206400,223.0,377.0
1158292800,241.75,392.5
1158552000,247.75,395.5
1158638400,246.5,409.0
1158724800,249.0,407.75
1158811200,257.25,421.5
1158897600,255.25,419.0
1159156800,254.75,413.75
1159243200,259.0,423.0
1159329600,253.75,424.25
1159416000,264.25,445.5
1159502400,262.5,443.0
1159761600,267.75,446.0
1159848000,264.0,439.5
1159934400,274.25,465.0
1160020800,271.75,464.0
1160107200,271.0,464.0
1160366400,289.5,494.0
1160452800,275.5,501.0
1160539200,284.0,531.0
1160625600,298.25,515.5
1160712000,314.5,525.5
1160971200,316.75,542.5
1161057600,321.0,531.0
1161144000,315.5,512.5
1161230400,316.0,513.0
1161316800,312.75,505.0
1161576000,318.25,517.0
1161662400,324.25,522.5
1161748800,327.0,516.75
1161835200,327.0,507.5
1161921600,332.5,508.5
1162184400,329.5,501.0
1162270800,320.75,483.0
1162357200,333.5,487.5
1162443600,344.75,491.5
1162530000,342.25,492.5
1162789200,343.5,498.0
1162875600,351.0,497.0
1162962000,357.75,504.0
1163048400,350.0,488.0
1163134800,343.25,480.5
1163394000,342.5,477.0
1163480400,357.75,486.5
1163566800,358.25,481.5
1163653200,351.5,468.75
1163739600,355.25,474.0
1163998800,360.0,475.0
1164085200,361.25,479.75
1164171600,362.75,486.25
1164258000,362.75,486.25
1164344400,369.25,500.0
1164603600,371.5,490.25
1164690000,368.75,487.25
1164776400,370.25,490.5
1164862800,377.0,502.0
1164949200,374.0,500.0
1165208400,362.75,499.5
1165294800,366.25,498.0
1165381200,353.0,475.0
1165467600,358.5,477.5
1165554000,354.25,469.0
1165813200,355.5,475.0
1165899600,359.0,465.0
1165986000,354.5,472.5
1166072400,358.75,477.0
1166158800,369.0,494.25
1166418000,365.75,487.5
1166504400,373.0,492.0
1166590800,372.75,493.75
1166677200,377.75,503.25
1166763600,384.0,514.0
1167109200,388.0,516.75
1167195600,386.75,507.0
1167282000,388.5,504.25
1167368400,390.25,501.0
1167800400,370.5,476.5
1167886800,362.25,467.5
1167973200,368.25,470.25
1168232400,363.5,464.0
1168318800,354.5,453.0
1168405200,360.25,449.5
1168491600,376.5,456.5
1168578000,396.5,479.5
1168923600,403.0,464.0
1169010000,408.0,477.0
1169096400,412.25,471.0
1169182800,406.75,467.0
1169442000,404.25,465.0
1169528400,409.0,480.25
1169614800,400.75,466.0
1169701200,407.0,468.75
1169787600,405.5,463.5
1170046800,400.0,456.5
1170133200,404.75,459.5
1170219600,404.0,467.5
1170306000,398.0,460.25
1170392400,402.0,461.25
1170651600,402.0,458.5
1170738000,396.5,451.0
1170824400,392.25,452.0
1170910800,399.75,457.0
1170997200,406.25,460.25
1171256400,404.75,455.75
1171342800,411.0,459.0
1171429200,408.25,451.0
1171515600,407.5,453.25
1171602000,417.0,468.0
1171947600,415.25,464.5
1172034000,426.25,476.0
1172120400,434.5,489.5
1172206800,430.25,484.25
1172466000,425.5,483.0
1172552400,411.0,470.25
1172638800,425.25,474.5
1172725200,417.25,468.0
1172811600,411.0,459.5
1173070800,417.25,468.0
1173157200,412.5,459.5
1173243600,415.75,466.5
1173330000,412.0,464.0
1173416400,408.25,465.5
1173672000,399.75,460.0
1173758400,397.0,456.0
1173844800,389.5,446.0
1173931200,397.75,455.5
1174017600,399.5,460.75
1174276800,398.0,455.0
1174363200,405.25,462.75
1174449600,409.75,465.5
1174536000,409.5,467.0
1174622400,403.25,461.5
1174881600,391.0,458.0
1174968000,392.5,454.0
1175054400,388.5,456.5
1175140800,394.5,461.0
1175227200,374.5,438.0
1175486400,354.75,428.0
1175572800,346.25,419.0
1175659200,359.25,431.25
1175745600,366.0,445.0
1176091200,363.5,447.5
1176177600,369.0,457.75
1176264000,360.75,456.25
1176350400,358.75,458.0
1176436800,369.0,478.5
1176696000,364.25,475.25
1176782400,353.25,477.5
1176868800,363.5,474.5
1176955200,371.25,496.0
1177041600,360.5,502.0
1177300800,352.25,494.0
1177387200,360.5,483.5
1177473600,371.25,506.25
1177560000,364.75,507.0
1177646400,364.25,500.5
1177905600,358.0,485.5
1177992000,367.5,488.5
1178078400,372.0,479.5
1178164800,379.75,481.0
1178251200,381.25,482.0
1178510400,369.5,482.0
1178596800,353.75,469.0
1178683200,357.25,471.0
1178769600,345.75,473.0
1178856000,361.0,483.0
1179115200,358.0,489.0
1179201600,371.5,502.0
1179288000,376.0,496.75
1179374400,373.0,485.5
1179460800,371.25,471.25
1179720000,381.0,479.5
1179806400,369.5,471.0
1179892800,368.5,476.5
1179979200,376.5,491.0
1180065600,376.0,501.0
1180411200,364.75,491.0
1180497600,382.25,510.75
1180584000,390.25,517.0
1180670400,386.75,520.75
1180929600,383.75,520.25
1181016000,380.25,527.25
1181102400,374.75,519.75
1181188800,384.75,524.5
1181275200,382.0,527.5
1181534400,396.0,556.0
1181620800,393.5,565.0
1181707200,404.5,589.5
1181793600,409.5,606.5
1181880000,419.0,606.5
1182139200,416.0,601.0
1182225600,396.0,581.0
1182312000,394.25,605.0
1182398400,385.0,606.0
1182484800,367.5,592.25
1182744000,357.75,589.5
1182830400,356.5,608.5
1182916800,343.75,606.0
1183003200,339.5,609.0
1183089600,329.5,582.0
1183348800,330.5,569.5
1183435200,320.0,571.5
1183608000,324.0,591.0
1183694400,334.5,600.5
1183953600,332.5,588.5
1184040000,338.0,592.0
1184126400,336.0,611.0
1184212800,344.0,611.5
1184299200,341.5,614.0
1184558400,334.75,601.75
1184644800,322.5,601.25
1184731200,327.0,623.5
1184817600,321.25,620.0
1184904000,318.25,616.25
1185163200,310.0,620.25
1185249600,311.5,642.0
1185336000,311.5,634.0
1185422400,317.5,651.0
1185508800,321.0,653.25
1185768000,323.5,637.5
1185854400,325.75,630.0
1185940800,319.0,636.0
1186027200,324.0,641.75
1186113600,326.5,650.0
1186372800,325.75,664.0
1186459200,335.25,662.5
1186545600,341.0,679.0
1186632000,332.25,673.5
1186718400,333.0,667.0
1186977600,331.0,666.5
1187064000,327.5,692.5
1187150400,328.0,678.5
1187236800,321.5,673.0
1187323200,328.5,672.0
1187582400,331.75,675.0
1187668800,338.5,691.5
1187755200,347.5,718.5
1187841600,345.25,722.5
1187928000,341.5,725.75
1188187200,335.75,722.25
1188273600,327.25,720.5
1188360000,322.75,742.0
1188446400,322.75,770.0
1188532800,324.0,767.0
1188878400,336.75,807.0
1188964800,328.75,842.5
1189051200,323.25,816.0
1189137600,331.25,840.0
1189396800,329.75,849.0
1189483200,324.5,871.0
1189569600,339.75,840.0
1189656000,330.75,825.5
1189742400,336.5,838.0
1190001600,352.25,875.0
1190088000,352.25,869.0
1190174400,358.25,845.0
1190260800,369.25,850.0
1190347200,376.5,874.0
1190606400,373.5,877.75
1190692800,371.75,887.25
1190779200,375.0,917.25
1190865600,386.75,933.0
1190952000,373.0,939.0
1191211200,368.75,952.5
1191297600,348.75,922.5
1191384000,344.5,927.0
1191470400,342.25,906.0
1191556800,342.25,890.0
1191816000,339.75,860.0
1191902400,342.5,845.5
1191988800,347.25,853.0
1192075200,343.75,883.0
1192161600,351.0,857.5
1192420800,362.0,833.5
1192507200,360.5,828.5
1192593600,358.0,820.5
1192680000,367.25,825.5
1192766400,370.25,855.5
1193025600,364.5,871.0
1193112000,361.0,841.0
1193198400,356.5,811.0
1193284800,366.25,802.0
1193371200,372.0,800.0
1193630400,376.0,828.5
1193716800,370.25,814.0
1193803200,375.5,808.0
1193889600,368.75,778.25
1193976000,377.0,778.5
1194238800,375.25,785.0
1194325200,385.75,797.0
1194411600,384.25,787.75
1194498000,389.5,762.0
1194584400,386.75,762.0
1194843600,379.0,761.0
1194930000,374.75,748.0
1195016400,383.0,752.5
1195102800,374.75,765.5
1195189200,379.5,749.5
1195448400,377.5,756.25
1195534800,381.25,773.5
1195621200,382.0,803.5
1195794000,389.0,826.5
1196053200,385.75,814.0
